Management,Education,Salary,Experience,Timepoint,Signal,Region
Junior Management,Bachelor's Degree,110121,18,4,4,North America
Junior Management,High School,87377,16,5,3,North America
Senior Management,Doctorate,62737,12,12,9,North America
Senior Management,Bachelor's Degree,64158,21,4,6,North America
Junior Management,Master's Degree,106479,19,9,1,Asia
Senior Management,Bachelor's Degree,127205,10,11,6,Middle East
Mid Management,Master's Degree,96413,39,2,4,Asia
Mid Management,High School,42257,37,9,7,Middle East
Junior Management,High School,86797,38,4,7,Europe
Junior Management,Master's Degree,90885,9,9,8,Europe
Mid Management,Master's Degree,65958,14,4,2,North America
Senior Management,Master's Degree,54419,23,1,7,Europe
Mid Management,Master's Degree,148388,16,3,9,Asia
Junior Management,High School,92964,26,8,2,Asia
Mid Management,Bachelor's Degree,101767,22,6,2,North America
Junior Management,Bachelor's Degree,95843,17,1,1,North America
Senior Management,Bachelor's Degree,56182,27,8,2,Europe
Senior Management,Doctorate,81297,9,9,8,Asia
Senior Management,Doctorate,79356,9,3,5,Europe
Mid Management,High School,100948,11,5,7,Middle East
Senior Management,Master's Degree,102012,10,9,5,Middle East
Mid Management,Doctorate,51899,1,11,6,Asia
Mid Management,Doctorate,149787,30,8,5,Middle East
Senior Management,Bachelor's Degree,72408,4,9,7,Europe
Senior Management,Bachelor's Degree,105324,35,10,7,North America
Junior Management,Doctorate,149749,6,1,3,Europe
Junior Management,Master's Degree,61525,25,3,5,North America
Mid Management,Doctorate,51641,11,2,2,North America
Mid Management,Master's Degree,103653,30,6,1,Middle East
Mid Management,Doctorate,101424,14,5,2,North America
Senior Management,Bachelor's Degree,107629,21,10,1,Middle East
Mid Management,High School,61767,8,12,1,North America
Senior Management,Bachelor's Degree,110758,32,6,6,Middle East
Junior Management,Master's Degree,125797,3,4,6,Middle East
Mid Management,Bachelor's Degree,88644,32,4,8,North America
Junior Management,High School,31852,35,2,6,Asia
Junior Management,Bachelor's Degree,79170,5,8,1,Middle East
Senior Management,Master's Degree,81301,11,10,1,Middle East
Junior Management,Doctorate,143014,3,1,3,Asia
Senior Management,Bachelor's Degree,50694,17,4,8,North America
Mid Management,High School,51646,28,12,7,Middle East
Mid Management,High School,43247,36,11,5,Asia
Senior Management,High School,42009,40,3,9,Asia
Mid Management,Bachelor's Degree,138123,26,1,9,Europe
Senior Management,Bachelor's Degree,49722,3,5,6,North America
Senior Management,Master's Degree,85581,30,3,3,North America
Senior Management,High School,121313,17,4,8,Middle East
Senior Management,Bachelor's Degree,38375,6,3,5,Asia
Junior Management,Bachelor's Degree,101748,23,10,7,Asia
Junior Management,Master's Degree,58942,31,2,6,Asia
Senior Management,High School,96756,10,4,4,North America
Senior Management,High School,76210,7,4,8,Middle East
Junior Management,Doctorate,135052,33,1,3,North America
Mid Management,Doctorate,140386,40,11,2,Europe
Senior Management,Bachelor's Degree,76227,5,1,4,North America
Mid Management,Bachelor's Degree,76632,4,10,7,Europe
Senior Management,High School,121489,39,6,8,North America
Senior Management,Master's Degree,60763,34,11,5,Europe
Junior Management,Bachelor's Degree,114133,12,8,2,Asia
Mid Management,Bachelor's Degree,102796,26,2,5,Europe
Mid Management,Bachelor's Degree,55583,27,1,5,Europe
Mid Management,Bachelor's Degree,72362,31,7,5,Europe
Mid Management,Master's Degree,126911,37,2,1,Middle East
Junior Management,Bachelor's Degree,72578,4,8,6,Asia
Senior Management,Doctorate,106518,17,1,4,Middle East
Senior Management,Bachelor's Degree,80331,24,11,1,Asia
Mid Management,Bachelor's Degree,138413,28,8,9,Europe
Mid Management,Master's Degree,94788,6,8,8,North America
Senior Management,Master's Degree,32499,7,8,6,Middle East
Junior Management,Bachelor's Degree,115088,10,12,5,Europe
Junior Management,High School,109831,29,5,9,Middle East
Mid Management,Doctorate,109014,6,8,6,Europe
Senior Management,Doctorate,70218,15,2,9,North America
Mid Management,Doctorate,43933,17,8,9,North America
Mid Management,Master's Degree,113366,2,10,2,Middle East
Senior Management,Bachelor's Degree,118174,20,10,6,Europe
Mid Management,Doctorate,76402,15,11,4,Europe
Senior Management,Doctorate,40245,17,7,7,Europe
Junior Management,Master's Degree,113475,38,7,3,Europe
Senior Management,Doctorate,35959,38,9,4,Asia
Junior Management,High School,123720,13,9,6,North America
Mid Management,Doctorate,133359,4,8,7,Europe
Junior Management,Bachelor's Degree,106821,29,10,1,Europe
Mid Management,Master's Degree,34458,4,4,3,North America
Senior Management,Master's Degree,75862,18,4,5,Middle East
Mid Management,High School,72744,30,4,7,Asia
Mid Management,Bachelor's Degree,107989,34,6,6,Europe
Mid Management,Doctorate,108250,38,11,2,Asia
Junior Management,Doctorate,83027,19,7,2,Europe
Mid Management,High School,30348,28,6,2,North America
Junior Management,Master's Degree,59305,18,1,2,Europe
Junior Management,Master's Degree,36496,36,7,4,Europe
Senior Management,High School,85172,2,4,8,North America
Senior Management,Master's Degree,112296,33,8,2,Asia
Senior Management,Master's Degree,35596,9,7,1,Asia
Mid Management,Bachelor's Degree,36145,26,4,5,Europe
Senior Management,Doctorate,46693,13,4,7,Europe
Mid Management,Master's Degree,147423,6,8,5,Europe
Senior Management,Master's Degree,85288,27,6,5,Europe
Mid Management,High School,93987,19,7,5,Middle East
Mid Management,Bachelor's Degree,37444,25,8,5,North America
Junior Management,Master's Degree,78652,32,8,5,North America
Senior Management,Doctorate,105446,29,8,6,Middle East
Junior Management,Master's Degree,131612,16,1,1,Europe
Mid Management,Doctorate,88754,30,5,5,Asia
Junior Management,High School,41759,20,3,9,North America
Junior Management,Master's Degree,93252,39,9,6,Asia
Senior Management,High School,57983,18,3,2,Middle East
Junior Management,Master's Degree,108323,16,5,6,North America
Mid Management,High School,76370,14,6,7,North America
Mid Management,Doctorate,73721,4,11,3,North America
Senior Management,Bachelor's Degree,120628,34,12,1,Middle East
Mid Management,Doctorate,90253,37,11,2,Middle East
Mid Management,Doctorate,51855,26,11,6,Asia
Junior Management,Master's Degree,54886,9,9,9,North America
